Date,NVDA_Close,NVDA_High,NVDA_Low,NVDA_Open,NVDA_Volume,IXIC_Close,IXIC_High,IXIC_Low,IXIC_Open,IXIC_Volume,NDX_Close,NDX_High,NDX_Low,NDX_Open,NDX_Volume,QQQ_Close,QQQ_High,QQQ_Low,QQQ_Open,QQQ_Volume
2023-01-03,14.303279876708984,14.983723050318702,14.08445930943246,14.838841304566728,401277000,10386.98046875,10613.0595703125,10309.16015625,10562.0595703125,4780650000,10862.6396484375,11093.099609375,10770.9296875,11038.419921875,4780650000,261.113525390625,266.7113368133265,258.7934317998464,265.23042985697367,42335300
2023-01-04,14.73692512512207,14.840840075575478,14.22934158563889,14.555074914722184,431324000,10458.759765625,10515.2197265625,10337.6396484375,10467.8203125,5085380000,10914.7998046875,10981.4599609375,10785.5302734375,10949.33984375,5085380000,262.357421875,264.0456772094719,259.1882899665796,263.2459900001427,47754900
2023-01-05,14.253320693969728,14.552075670491968,14.136415909839467,14.479135485903637,389168000,10305.240234375,10393.2197265625,10295.25,10390.3095703125,4764270000,10741.2197265625,10842.330078125,10728.259765625,10837.25,4764270000,258.2503967285156,260.84692490058444,257.9344928310436,260.6791056627285,45396700
2023-01-06,14.846834182739258,14.997710572155174,14.022509854107089,14.462149178413084,405044000,10569.2900390625,10604.1396484375,10265.0400390625,10363.9599609375,5199780000,11040.349609375,11082.58984375,10696.419921875,10807.4599609375,5199780000,265.37847900390625,266.5039826020594,257.02617332425024,259.9978691935362,54659700
2023-01-09,15.615203857421877,16.042852902543725,15.12860215409785,15.271485666138863,504231000,10635.650390625,10807.259765625,10619.1201171875,10662.099609375,5132190000,11108.4501953125,11304.83984375,11085.3203125,11133.0703125,5132190000,267.0963439941406,271.7858819327096,266.48424070492416,267.38263093321007,45568700
2023-01-10,15.89597511291504,15.94893121673774,15.459332626456098,15.494303818205712,384101000,10742.6298828125,10743.669921875,10589.58984375,10607.7197265625,4710680000,11205.7802734375,11207.5595703125,11050.6796875,11069.0498046875,4710680000,269.357177734375,269.46579322928454,265.54632551297703,266.05969567047043,35247800
2023-01-11,15.987899780273438,16.0148781028567,15.550258635785257,15.827032288803178,353285000,10931.669921875,10932.4404296875,10762.73046875,10794.990234375,5284390000,11402.51953125,11403.8896484375,11220.75,11259.16015625,5284390000,274.0170593261719,274.12567480542606,269.643455942123,270.433290834952,44077000
2023-01-12,16.497480392456055,16.623376674174565,15.479314701266622,16.08681762259126,551409000,11001.099609375,11027.75,10797.1201171875,10969.259765625,5681240000,11459.6103515625,11500.8603515625,11246.01953125,11441.4501953125,5681240000,275.4980163574219,276.53466919508213,270.2556086948182,274.57986137224856,60600000
2023-01-13,16.88516616821289,16.908148056338185,16.15176778844737,16.264674246702192,447287000,11079.16015625,11084.009765625,10900.16015625,10906.3701171875,5077990000,11541.48046875,11547.9599609375,11347.599609375,11362.1298828125,5077990000,277.39361572265625,277.6404335453041,272.64484322524146,272.9805118485471,44802900
2023-01-17,17.68750762939453,17.713487319827372,16.885165521758307,16.885165521758307,511102000,11095.1103515625,11145.4404296875,11024.7197265625,11070.0,5138410000,11557.1904296875,11615.9501953125,11484.01953125,11531.5400390625,5138410000,277.9563293457031,279.2496521481014,276.0212561894148,277.1961112739025,36269700
