日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/02/03,"64,929,799","12,468,670,503",192.30,193.00,190.65,192.70,-8.60,"152,822"
114/02/04,"20,895,891","4,052,034,043",193.65,194.55,193.05,193.85,+1.15,"34,108"
114/02/05,"16,043,648","3,163,809,227",195.75,197.80,195.75,196.80,+2.95,"22,885"
114/02/06,"11,822,167","2,338,213,453",198.00,198.40,197.10,197.65,+0.85,"18,509"
114/02/07,"6,126,992","1,212,818,127",197.65,198.60,197.10,198.55,+0.90,"13,873"
114/02/10,"18,366,301","3,613,707,048",198.20,198.20,196.10,196.30,-2.25,"44,790"
114/02/11,"5,419,925","1,071,645,166",197.50,198.50,197.00,197.50,+1.20,"12,095"
114/02/12,"7,415,810","1,466,223,019",198.00,198.65,197.00,197.20,-0.30,"15,416"
114/02/13,"15,306,893","3,006,548,197",197.30,197.40,195.55,196.35,-0.85,"25,922"
114/02/14,"26,452,171","5,136,323,011",195.15,195.15,193.50,194.00,-2.35,"69,782"
114/02/17,"12,309,880","2,415,311,176",194.75,196.95,194.75,196.95,+2.95,"21,505"
114/02/18,"8,791,794","1,734,030,140",197.90,197.90,196.60,197.65,+0.70,"18,529"
114/02/19,"12,820,440","2,531,376,761",197.65,197.90,197.00,197.30,-0.35,"23,441"
114/02/20,"15,504,294","3,036,131,580",196.95,196.95,195.10,196.55,-0.75,"35,876"
114/02/21,"9,097,283","1,795,160,598",196.50,197.95,195.90,197.95,+1.40,"16,607"
114/02/24,"14,227,193","2,788,014,198",196.15,196.40,195.50,196.20,-1.75,"37,877"
114/02/25,"31,389,673","6,070,255,996",194.00,194.05,192.60,193.65,-2.55,"88,376"
114/02/26,"19,951,637","3,853,695,188",192.90,194.70,191.90,194.70,+1.05,"37,866"
114/02/27,"22,169,864","4,279,513,662",194.95,194.95,192.35,192.50,-2.20,"72,029"
