日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/06/03,"9,475,689","1,600,550,183",168.65,169.75,167.30,169.55,+3.55,"12,509"
113/06/04,"8,753,452","1,465,081,642",168.75,168.75,166.50,166.85,-2.70,"18,696"
113/06/05,"4,935,163","827,016,285",167.40,168.80,166.15,168.45,+1.60,"11,328"
113/06/06,"18,069,198","3,139,162,083",172.75,174.60,172.65,174.20,+5.75,"19,789"
113/06/07,"7,113,014","1,229,550,638",173.30,173.40,172.40,172.85,-1.35,"10,518"
113/06/11,"11,261,872","1,954,032,447",173.15,174.25,172.90,173.30,+0.45,"12,407"
113/06/12,"8,173,366","1,431,691,938",173.30,176.45,173.30,176.40,+3.10,"11,978"
113/06/13,"16,739,748","2,995,817,069",178.90,180.50,177.80,178.95,+2.55,"17,606"
113/06/14,"6,902,361","1,236,103,031",178.95,180.00,177.80,180.00,+1.05,"11,630"
113/06/17,"8,638,429","1,551,547,565",179.20,180.45,178.80,180.00, 0.00,"14,693"
113/06/18,"7,029,339","1,284,103,308",182.50,183.05,182.00,183.00,+3.00,"12,087"
113/06/19,"26,118,499","4,893,505,250",184.75,188.90,184.75,187.95,+4.95,"27,903"
113/06/20,"11,887,892","2,243,620,224",187.95,189.75,187.80,189.75,+1.80,"15,551"
113/06/21,"10,830,757","2,036,270,941",187.10,189.20,186.95,188.60,-1.15,"17,027"
113/06/24,"14,671,365","2,705,763,066",186.50,186.50,183.55,184.00,-4.60,"32,170"
113/06/25,"13,774,562","2,513,790,496",181.95,183.90,180.80,183.90,-0.10,"20,594"
113/06/26,"9,269,483","1,718,526,283",184.95,186.10,184.25,185.35,+1.45,"11,194"
113/06/27,"6,508,242","1,199,247,562",183.60,185.30,183.40,185.30,-0.05,"8,578"
113/06/28,"4,455,951","830,033,644",185.30,187.40,184.65,186.45,+1.15,"7,487"
