日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/05/02,"15,243,499","2,627,600,250",172.00,173.50,171.50,173.50,+4.90,"28,658"
114/05/05,"33,624,386","5,771,537,482",174.60,174.60,169.90,171.95,-1.55,"46,170"
114/05/06,"29,982,445","5,126,154,837",169.95,172.10,169.35,171.00,-0.95,"30,431"
114/05/07,"13,869,395","2,371,470,073",171.80,172.50,169.95,170.35,-0.65,"18,052"
114/05/08,"10,291,384","1,774,490,460",172.05,173.20,171.60,172.60,+2.25,"13,827"
114/05/09,"13,675,596","2,376,716,685",172.70,174.95,172.35,174.75,+2.15,"18,963"
114/05/12,"14,200,267","2,507,567,763",175.50,177.00,175.50,176.70,+1.95,"25,113"
114/05/13,"21,040,721","3,783,370,955",180.85,181.10,178.85,178.85,+2.15,"26,124"
114/05/14,"23,824,282","4,337,610,111",181.85,182.90,181.35,182.90,+4.05,"27,782"
114/05/15,"12,236,511","2,235,290,336",182.90,182.90,182.00,182.50,-0.40,"26,025"
