日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/01/02,"14,166,530","2,749,829,175",195.65,195.65,193.25,194.05,-1.70,"31,266"
114/01/03,"7,453,437","1,461,802,474",196.00,196.95,195.20,196.00,+1.95,"10,588"
114/01/06,"26,355,410","5,292,043,270",198.65,202.30,198.60,202.15,+6.15,"34,845"
114/01/07,"16,788,119","3,443,887,469",204.95,206.00,204.25,204.40,+2.25,"19,592"
114/01/08,"12,435,236","2,513,950,378",202.65,203.35,201.05,201.35,-3.05,"17,431"
114/01/09,"9,097,699","1,819,154,055",200.20,201.15,199.00,199.05,-2.30,"18,459"
114/01/10,"9,049,013","1,797,943,690",199.00,199.55,198.00,199.00,-0.05,"19,280"
114/01/13,"23,384,365","4,565,969,494",199.00,199.00,194.10,194.40,-4.60,"52,476"
114/01/14,"11,499,417","2,243,491,830",194.70,195.90,194.05,195.60,+1.20,"15,424"
114/01/15,"18,681,935","3,630,590,932",196.00,196.00,193.75,194.10,-1.50,"32,605"
114/01/16,"16,107,492","3,194,706,441",197.90,199.50,197.40,198.05,+3.95,"15,522"
114/01/17,"15,650,604","3,065,950,866",197.00,197.35,194.40,196.30,X0.00,"16,641"
114/01/20,"7,861,450","1,558,092,202",197.15,198.65,197.15,198.30,+2.00,"13,583"
114/01/21,"11,024,727","2,185,037,920",197.30,199.20,196.70,198.70,+0.40,"11,705"
114/01/22,"13,730,665","2,759,777,870",200.30,201.70,200.30,201.30,+2.60,"18,273"
