日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/03,"65,048,097","12,215,218,709",188.80,189.00,186.80,188.05,-4.45,"167,213"
114/03/04,"33,496,023","6,232,920,254",185.00,187.25,184.65,186.80,-1.25,"88,274"
114/03/05,"14,197,516","2,682,191,707",188.00,189.50,188.00,189.25,+2.45,"31,187"
114/03/06,"16,564,779","3,116,364,519",189.35,189.35,187.35,188.10,-1.15,"47,087"
114/03/07,"20,206,452","3,764,109,128",186.80,187.00,185.80,186.35,-1.75,"62,764"
114/03/10,"22,718,416","4,206,999,678",186.35,186.35,184.35,185.25,-1.10,"62,413"
114/03/11,"39,156,166","7,080,180,542",180.75,182.10,179.10,182.00,-3.25,"103,437"
114/03/12,"14,291,157","2,614,844,140",182.10,184.40,181.60,182.80,+0.80,"33,262"
114/03/13,"15,273,148","2,792,686,680",185.20,185.85,181.05,181.10,-1.70,"48,999"
114/03/14,"14,434,475","2,605,408,836",181.10,181.15,179.55,180.50,-0.60,"44,627"
114/03/17,"12,068,530","2,202,388,924",182.55,183.50,181.60,182.05,+1.55,"26,331"
114/03/18,"8,548,696","1,563,309,131",183.10,183.85,182.35,182.80,+0.75,"16,975"
114/03/19,"13,887,518","2,515,675,574",182.60,182.65,180.10,180.55,-2.25,"47,201"
114/03/20,"8,174,843","1,499,883,058",182.45,184.45,182.45,184.45,+3.90,"16,217"
114/03/21,"8,012,408","1,467,436,546",184.00,184.00,182.50,182.95,-1.50,"19,309"
114/03/24,"7,931,135","1,452,153,508",184.40,184.40,182.30,182.75,-0.20,"17,479"
114/03/25,"8,367,367","1,544,811,823",184.65,185.50,184.00,184.65,+1.90,"16,044"
114/03/26,"7,266,932","1,339,869,111",185.20,185.40,183.85,184.50,-0.15,"15,574"
114/03/27,"20,131,926","3,638,675,995",181.50,181.60,180.45,181.00,-3.50,"55,820"
114/03/28,"23,684,306","4,228,868,765",179.15,179.30,178.00,179.20,-1.80,"79,495"
114/03/31,"43,779,527","7,579,944,355",173.60,174.25,172.20,172.75,-6.45,"130,516"
