日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/04/01,"13,028,846","2,284,423,833",173.60,176.55,173.60,176.30,+3.55,"30,395"
114/04/02,"11,506,862","2,032,740,660",176.85,177.35,176.00,176.00,-0.30,"25,430"
114/04/07,"29,578,872","4,685,331,802",158.40,158.40,158.40,158.40,-17.60,"110,835"
114/04/08,"88,850,426","13,617,537,740",151.20,157.45,150.55,153.25,-5.15,"155,906"
114/04/09,"83,829,139","12,545,864,892",152.50,154.15,145.00,146.20,-7.05,"167,496"
114/04/10,"6,081,831","977,956,987",160.80,160.80,160.80,160.80,+14.60,"8,425"
114/04/11,"51,081,199","8,202,752,084",157.25,164.55,155.35,164.55,+3.75,"77,370"
114/04/14,"47,341,078","7,858,911,823",168.50,168.70,163.50,163.70,-0.85,"79,217"
114/04/15,"19,827,286","3,265,491,048",164.05,165.50,163.30,165.35,+1.65,"37,396"
114/04/16,"27,131,302","4,408,343,222",163.80,163.80,161.40,162.35,-3.00,"64,314"
114/04/17,"20,055,649","3,217,845,954",161.30,161.30,159.45,160.55,-1.80,"41,908"
114/04/18,"11,985,828","1,932,161,023",161.40,161.80,160.60,160.90,+0.35,"28,258"
114/04/21,"17,835,479","2,837,544,386",160.75,160.75,158.50,158.60,-2.30,"52,059"
114/04/22,"21,039,511","3,298,295,836",157.55,157.90,155.95,155.95,-2.65,"55,872"
114/04/23,"16,545,775","2,677,643,864",160.30,163.10,160.30,162.85,+6.90,"26,829"
114/04/24,"14,351,450","2,335,488,916",163.90,164.05,161.30,161.90,-0.95,"29,832"
114/04/25,"18,651,089","3,100,147,680",166.20,166.95,165.50,165.75,+3.85,"31,456"
114/04/28,"12,807,837","2,140,130,704",166.80,167.50,166.80,167.15,+1.40,"21,747"
114/04/29,"11,555,125","1,934,243,380",167.15,168.00,166.50,167.80,+0.65,"18,940"
114/04/30,"10,178,792","1,712,143,049",167.85,169.00,167.50,168.60,+0.80,"20,944"
