日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/04/01,"5,727,780","904,051,439",158.20,158.75,157.25,157.40,-0.50,"9,814"
113/04/02,"7,924,481","1,261,718,566",158.45,159.65,158.40,159.65,+2.25,"11,341"
113/04/03,"5,042,947","799,119,313",158.65,158.90,157.80,158.55,-1.10,"10,098"
113/04/08,"6,124,837","976,164,820",158.65,159.85,158.55,159.45,+0.90,"12,306"
113/04/09,"9,043,462","1,465,418,271",160.00,163.35,159.90,163.25,+3.80,"15,355"
113/04/10,"5,731,265","933,773,619",162.75,163.30,162.45,163.00,-0.25,"12,106"
113/04/11,"4,677,727","758,087,448",162.05,162.50,161.65,162.50,-0.50,"9,606"
113/04/12,"6,129,174","994,740,991",162.60,162.80,161.95,162.10,-0.40,"7,404"
113/04/15,"8,727,145","1,397,288,443",160.25,160.55,159.60,160.00,-2.10,"20,071"
113/04/16,"18,674,686","2,914,071,977",158.30,158.30,154.75,155.65,-4.35,"39,767"
113/04/17,"8,077,871","1,267,652,543",155.95,157.70,155.90,157.40,+1.75,"10,186"
113/04/18,"6,903,163","1,087,753,112",156.35,158.95,155.80,158.95,+1.55,"8,741"
113/04/19,"33,785,973","5,120,010,612",154.10,154.15,149.50,150.90,-8.05,"63,456"
113/04/22,"9,992,734","1,505,959,931",150.40,151.75,149.70,150.45,-0.45,"18,339"
113/04/23,"5,718,650","868,908,321",152.15,152.45,151.30,151.90,+1.45,"7,971"
113/04/24,"8,082,060","1,258,539,965",154.00,156.50,154.00,156.35,+4.45,"9,579"
113/04/25,"5,279,800","811,673,254",154.10,154.45,153.25,153.50,-2.85,"13,893"
113/04/26,"6,054,296","945,852,784",156.00,156.80,155.50,156.00,+2.50,"7,970"
113/04/29,"8,135,962","1,289,630,787",157.30,159.10,157.30,158.80,+2.80,"10,501"
113/04/30,"4,792,141","761,950,562",158.60,159.35,158.25,158.25,-0.55,"6,586"
