日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/10/01,"9,883,064","1,816,503,951",183.90,184.60,183.35,183.60,-0.35,"12,966"
113/10/04,"9,244,059","1,702,224,459",184.00,185.30,183.00,183.60, 0.00,"11,633"
113/10/07,"13,993,911","2,620,896,326",185.80,188.20,185.80,188.15,+4.55,"16,827"
113/10/08,"9,953,432","1,856,111,985",186.95,187.35,185.50,187.25,-0.90,"13,785"
113/10/09,"11,860,866","2,249,761,001",189.00,190.20,189.00,189.00,+1.75,"13,173"
113/10/11,"13,197,709","2,531,453,621",189.05,192.80,189.05,192.15,+3.15,"19,523"
113/10/14,"10,725,917","2,062,002,537",192.10,192.90,190.95,192.30,+0.15,"13,790"
113/10/15,"15,738,243","3,078,566,625",193.00,196.60,193.00,196.40,+4.10,"21,261"
113/10/16,"18,604,770","3,594,464,975",192.45,195.30,191.65,193.00,-3.40,"22,549"
113/10/17,"9,936,801","1,916,758,932",194.00,194.10,191.90,193.30,+0.30,"11,424"
113/10/18,"33,596,096","6,693,832,518",199.30,200.20,197.25,198.10,+4.80,"28,236"
113/10/21,"13,716,495","2,730,957,583",199.05,199.95,198.00,198.05,-0.05,"14,559"
113/10/22,"8,995,727","1,768,962,781",197.20,197.30,195.35,197.30,-0.75,"14,274"
113/10/23,"10,050,673","1,970,225,174",196.70,196.90,195.65,196.00,-1.30,"16,526"
113/10/24,"8,642,395","1,691,119,396",196.00,196.70,194.50,194.80,-1.20,"13,537"
113/10/25,"12,961,246","2,539,355,383",195.00,196.55,195.00,196.40,+1.60,"14,768"
113/10/28,"11,929,580","2,342,986,159",197.90,198.15,194.95,196.05,-0.35,"15,575"
113/10/29,"26,008,937","4,977,323,977",193.25,193.25,190.20,191.50,-4.55,"42,384"
113/10/30,"14,531,256","2,800,185,309",192.95,194.05,191.50,191.80,+0.30,"15,214"
