日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/09/02,"8,406,621","1,522,822,665",181.90,182.45,180.50,180.85,-0.50,"11,557"
113/09/03,"9,951,882","1,796,839,463",181.00,181.50,179.70,180.05,-0.80,"10,334"
113/09/04,"34,040,370","5,856,531,211",171.00,173.80,170.00,171.25,-8.80,"76,198"
113/09/05,"9,617,832","1,667,185,291",172.85,174.65,171.75,172.30,+1.05,"19,940"
113/09/06,"8,941,475","1,556,560,053",173.00,174.90,171.85,174.75,+2.45,"13,003"
113/09/09,"16,353,482","2,796,547,163",170.40,172.10,170.30,172.05,-2.70,"27,362"
113/09/10,"9,866,281","1,698,214,149",173.40,173.40,171.15,172.35,+0.30,"16,346"
113/09/11,"5,427,964","933,696,240",172.35,172.50,171.50,171.85,-0.50,"11,868"
113/09/12,"16,337,565","2,900,529,886",176.10,178.65,176.10,178.30,+6.45,"15,442"
113/09/13,"4,775,976","852,453,956",179.00,179.35,177.85,178.40,+0.10,"8,283"
113/09/16,"6,206,362","1,109,655,765",178.60,179.20,178.30,178.75,+0.35,"11,707"
113/09/18,"9,649,985","1,713,884,250",178.50,179.10,176.55,177.85,-0.90,"14,610"
113/09/19,"8,553,792","1,532,937,205",178.00,180.20,177.00,180.15,+2.30,"10,740"
113/09/20,"14,311,332","2,620,276,842",183.10,184.10,182.45,182.45,+2.30,"16,087"
113/09/23,"8,294,604","1,519,352,609",182.55,183.65,182.55,183.25,+0.80,"9,881"
113/09/24,"10,476,465","1,921,213,429",183.20,185.00,182.10,185.00,+1.75,"12,024"
113/09/25,"12,464,313","2,339,725,240",187.70,188.00,187.35,187.75,+2.75,"15,933"
113/09/26,"17,369,543","3,290,621,957",189.60,190.00,188.75,189.30,+1.55,"15,267"
113/09/27,"11,999,510","2,280,157,942",190.20,191.25,188.60,188.90,-0.40,"15,599"
113/09/30,"14,461,065","2,678,744,441",186.55,187.20,183.95,183.95,-4.95,"32,756"
