日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/08/01,"14,525,195","2,671,260,519",185.00,185.10,182.70,184.00,+3.15,"14,649"
113/08/02,"32,816,025","5,798,178,503",178.15,178.90,174.70,174.70,-9.30,"68,966"
113/08/05,"61,002,329","9,893,076,101",166.65,166.65,158.40,158.75,-15.95,"111,467"
113/08/06,"65,342,352","10,883,521,675",167.30,170.40,160.80,167.50,+8.75,"54,758"
113/08/07,"32,751,044","5,650,132,811",169.85,174.75,169.00,174.15,+6.65,"29,003"
113/08/08,"26,852,782","4,585,081,468",171.05,172.40,169.00,170.55,-3.60,"29,484"
113/08/09,"24,121,860","4,242,663,929",175.00,176.90,174.50,175.85,+5.30,"21,088"
113/08/12,"18,188,036","3,246,767,115",177.25,179.80,177.25,178.05,+2.20,"18,552"
113/08/13,"11,257,895","2,010,945,566",179.30,179.50,178.00,178.50,+0.45,"12,862"
113/08/14,"19,282,599","3,487,274,230",180.35,181.85,179.95,180.75,+2.25,"16,415"
113/08/15,"12,003,834","2,160,883,722",180.60,181.00,179.05,179.35,-1.40,"16,847"
113/08/16,"13,980,972","2,561,360,342",183.00,183.65,182.35,183.40,+4.05,"17,837"
113/08/19,"9,763,635","1,795,724,975",183.50,184.70,183.15,183.65,+0.25,"13,639"
113/08/20,"11,135,615","2,053,096,490",184.60,185.20,183.70,183.75,+0.10,"12,633"
113/08/21,"12,259,979","2,233,167,204",183.00,183.05,181.45,181.80,-1.95,"17,575"
113/08/22,"5,716,778","1,035,514,934",182.10,182.60,180.35,180.85,-0.95,"11,371"
113/08/23,"8,316,460","1,497,506,580",179.00,181.35,178.90,180.95,+0.10,"11,394"
113/08/26,"11,798,725","2,149,783,996",182.40,183.40,180.80,181.25,+0.30,"13,941"
113/08/27,"5,626,648","1,014,124,826",180.40,180.90,179.75,180.45,-0.80,"8,817"
113/08/28,"5,848,299","1,061,370,161",180.50,183.00,179.85,183.00,+2.55,"8,787"
113/08/29,"11,314,146","2,040,580,617",179.50,181.15,179.15,180.50,-2.50,"15,918"
113/08/30,"8,281,952","1,501,858,594",180.95,182.05,180.65,181.35,+0.85,"9,587"
