類別：所有類別

週,nvda: (全球)
2024-12-29,22
2025-01-05,38
2025-01-12,28
2025-01-19,27
2025-01-26,100
2025-02-02,51
2025-02-09,36
2025-02-16,29
2025-02-23,62
2025-03-02,48
