類別：所有類別

週,nvda: (全球)
2023-12-31,12
2024-01-07,21
2024-01-14,19
2024-01-21,25
2024-01-28,25
2024-02-04,37
2024-02-11,37
2024-02-18,86
2024-02-25,39
2024-03-03,55
2024-03-10,49
2024-03-17,50
2024-03-24,33
2024-03-31,30
2024-04-07,29
2024-04-14,32
2024-04-21,37
2024-04-28,30
2024-05-05,28
2024-05-12,29
2024-05-19,76
2024-05-26,54
2024-06-02,70
2024-06-09,76
2024-06-16,74
2024-06-23,77
2024-06-30,46
2024-07-07,55
2024-07-14,56
2024-07-21,53
2024-07-28,66
2024-08-04,77
2024-08-11,59
2024-08-18,56
2024-08-25,100
2024-09-01,62
2024-09-08,54
2024-09-15,45
2024-09-22,44
2024-09-29,38
2024-10-06,47
2024-10-13,48
2024-10-20,48
2024-10-27,43
2024-11-03,49
2024-11-10,46
2024-11-17,89
2024-11-24,39
2024-12-01,41
2024-12-08,43
2024-12-15,47
2024-12-22,31
2024-12-29,32
