類別：所有類別

週,nvidia: (全球)
2023-01-01,60
2023-01-08,58
2023-01-15,54
2023-01-22,60
2023-01-29,59
2023-02-05,60
2023-02-12,58
2023-02-19,59
2023-02-26,58
2023-03-05,56
2023-03-12,55
2023-03-19,63
2023-03-26,56
2023-04-02,54
2023-04-09,54
2023-04-16,50
2023-04-23,49
2023-04-30,50
2023-05-07,48
2023-05-14,51
2023-05-21,87
2023-05-28,90
2023-06-04,65
2023-06-11,67
2023-06-18,54
2023-06-25,63
2023-07-02,56
2023-07-09,63
2023-07-16,61
2023-07-23,60
2023-07-30,60
2023-08-06,63
2023-08-13,63
2023-08-20,100
2023-08-27,71
2023-09-03,67
2023-09-10,63
2023-09-17,60
2023-09-24,58
2023-10-01,56
2023-10-08,58
2023-10-15,64
2023-10-22,59
2023-10-29,60
2023-11-05,60
2023-11-12,67
2023-11-19,80
2023-11-26,64
2023-12-03,64
2023-12-10,66
2023-12-17,67
2023-12-24,66
2023-12-31,63
