發佈時間,標題,描述,來源,連結
2023-07-01 07:00:00,Trump’s South Carolina rally attracted a massive crowd in heavily Republican area - The Associated Press,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQal9OZzZWdVVCTENpd2ZQZ2V0Y2trOG96NXQxenA0UzU4ZjIwR0xXbFZzYnNMM1B5NGF6RkdQcmxtVGw3bFVmZXh1QkJkYUZyMmlCU0pyR1gzeEg2VzNCTmlTSTNSNURIVFNERFllNFc3cUtpVDI1c1VkeFZYblRQajB0RUNWczFPVmxFVHRjcGlKdl9oT1hLQQ?oc=5"" target=""_blank"">Trump’s South Carolina rally attracted a massive crowd in heavily Republican area</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font>",The Associated Press,https://news.google.com/rss/articles/CBMimAFBVV95cUxQal9OZzZWdVVCTENpd2ZQZ2V0Y2trOG96NXQxenA0UzU4ZjIwR0xXbFZzYnNMM1B5NGF6RkdQcmxtVGw3bFVmZXh1QkJkYUZyMmlCU0pyR1gzeEg2VzNCTmlTSTNSNURIVFNERFllNFc3cUtpVDI1c1VkeFZYblRQajB0RUNWczFPVmxFVHRjcGlKdl9oT1hLQQ?oc=5
2023-06-30 07:00:00,Donald Trump Speaks at Moms for Liberty Convention - C-SPAN,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOLWZid1NxdnZZSGRDVWQyelU5NFZJYmlmZnZBa1FTU0RZOEV0R1FyRjBlUm1qQ1JVbFh5VGR3UVNiSWRxQ1VHZmcwWTZFRUY3Z1ItTGxWUWllcWR6VTRJU1dkcmw0ZWdjcHZaVktiVFk5VlVYS1J3aU5SWVFRWEw0ZmxBMFphX05NV1ROWU1DOHpGOE5MMEtFWHlLbks5b210Qmt6Ug?oc=5"" target=""_blank"">Donald Trump Speaks at Moms for Liberty Convention</a>&nbsp;&nbsp;<font color=""#6f6f6f"">C-SPAN </font>",C-SPAN,https://news.google.com/rss/articles/CBMipAFBVV95cUxOLWZid1NxdnZZSGRDVWQyelU5NFZJYmlmZnZBa1FTU0RZOEV0R1FyRjBlUm1qQ1JVbFh5VGR3UVNiSWRxQ1VHZmcwWTZFRUY3Z1ItTGxWUWllcWR6VTRJU1dkcmw0ZWdjcHZaVktiVFk5VlVYS1J3aU5SWVFRWEw0ZmxBMFphX05NV1ROWU1DOHpGOE5MMEtFWHlLbks5b210Qmt6Ug?oc=5
2023-07-01 07:00:00,Trump pressured Arizona governor after 2020 election to help overturn his defeat - CNN,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNanBReUl5WF81S0dTUE1pS19MTlBlT0FOR0V6WU1pX2JmYUo5WW9HQUhueGlITUJnejV1RjVqbUl5cWNMa2tuUHhIRWhqTUpiODlXLTRGQWZIYnlwbHg0TnVBWWdSMG43RXBzdWR2ZjdfcTNpYzZ0TE5VeXctQjF3bkJ3eEtvYi00U3VOYWJ4QkJxYUJzcGJtT9IBjwFBVV95cUxPeVEyTVZ6aFlCbGktREt5V1hfMlBXMEdmRDgwNTBPN1V3bmg5dzVUMk41dlFpRzNUWUhlcW5ZSjRZaTN4VEFQOXhGVUV4cVk0M1JzNFJUUGs1bmZ0b0ZreUlzMjhjQUhZeDZVRHlobTBZenNDRE1uazl4clEwVTVXa1dPUUN5R01iSTQ2YkF6dw?oc=5"" target=""_blank"">Trump pressured Arizona governor after 2020 election to help overturn his defeat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",CNN,https://news.google.com/rss/articles/CBMimAFBVV95cUxNanBReUl5WF81S0dTUE1pS19MTlBlT0FOR0V6WU1pX2JmYUo5WW9HQUhueGlITUJnejV1RjVqbUl5cWNMa2tuUHhIRWhqTUpiODlXLTRGQWZIYnlwbHg0TnVBWWdSMG43RXBzdWR2ZjdfcTNpYzZ0TE5VeXctQjF3bkJ3eEtvYi00U3VOYWJ4QkJxYUJzcGJtT9IBjwFBVV95cUxPeVEyTVZ6aFlCbGktREt5V1hfMlBXMEdmRDgwNTBPN1V3bmg5dzVUMk41dlFpRzNUWUhlcW5ZSjRZaTN4VEFQOXhGVUV4cVk0M1JzNFJUUGs1bmZ0b0ZreUlzMjhjQUhZeDZVRHlobTBZenNDRE1uazl4clEwVTVXa1dPUUN5R01iSTQ2YkF6dw?oc=5
2023-06-30 07:00:00,Donald Trump speech caps dramatic first day of Moms for Liberty summit - City & State Pennsylvania,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPbWpfODRrSjNyekVMaXRuNWlBTF9xMWVDYk16ektzWEhBcG9xdkxabnh3bWRfYXdXdHp4WlhuMF95NmFRSVRuXzF4RDF5NWdaeTY3M0MwOERtclVPWm5uVGpSMWhFVm5OS1MzcXl3WTNlWU1PMmswWkFiekhTMkxPT3pkbDNzYzMxYUJBTWY5OVBqNkp1empUVDRhQWVRaGVqbTBNVGRXNWFrQjFSRFRMeXM3dTdmOVVuMGI0?oc=5"" target=""_blank"">Donald Trump speech caps dramatic first day of Moms for Liberty summit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">City & State Pennsylvania</font>",City & State Pennsylvania,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPbWpfODRrSjNyekVMaXRuNWlBTF9xMWVDYk16ektzWEhBcG9xdkxabnh3bWRfYXdXdHp4WlhuMF95NmFRSVRuXzF4RDF5NWdaeTY3M0MwOERtclVPWm5uVGpSMWhFVm5OS1MzcXl3WTNlWU1PMmswWkFiekhTMkxPT3pkbDNzYzMxYUJBTWY5OVBqNkp1empUVDRhQWVRaGVqbTBNVGRXNWFrQjFSRFRMeXM3dTdmOVVuMGI0?oc=5
2023-07-01 07:00:00,Trump pressured Arizona Gov. Doug Ducey to overturn 2020 election - The Washington Post,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxQbXl3MFlWenUtYXNVSUVuZGUzLU9fbzRCOUY2aV9pT3RZQ25BYUZzcG1fSlRJRU1qb2xxNVpodndXaHJ2Tk85Znh6NFVGSHloUEx5Z3VvT0NfSHhVX25WNUhqX01mS3lFLWJKVXpuNUJPSkhNYkNuaFBJS3p0eExqX0JaVXliZWFWVFVycENTaWZjX1N3R29oZ3RSM0R3Zw?oc=5"" target=""_blank"">Trump pressured Arizona Gov. Doug Ducey to overturn 2020 election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",The Washington Post,https://news.google.com/rss/articles/CBMingFBVV95cUxQbXl3MFlWenUtYXNVSUVuZGUzLU9fbzRCOUY2aV9pT3RZQ25BYUZzcG1fSlRJRU1qb2xxNVpodndXaHJ2Tk85Znh6NFVGSHloUEx5Z3VvT0NfSHhVX25WNUhqX01mS3lFLWJKVXpuNUJPSkhNYkNuaFBJS3p0eExqX0JaVXliZWFWVFVycENTaWZjX1N3R29oZ3RSM0R3Zw?oc=5
2023-06-30 07:00:00,Trump Wins Election In Rural Oregon—With Two Votes - Forbes,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxOalRSTVE0SnBOQ3BtWlRvOUVLaFBtczJRb0VwMkFwZzZhOVZEZlZFZkRvZkZid3BhaHFmUkNXdFFVOENoXzhGckc1THlIM0ZiekNVWTYwaFJySzVsb05mMHctNnFxbVJqVV9oRlJwbjR1eWRIZTNENGpVQnBWUjJERE5fZ0ZxS3pTdi1PZlhkUzlSX2J4UnExTUdJZUdma1F6UG5Edl8tRQ?oc=5"" target=""_blank"">Trump Wins Election In Rural Oregon—With Two Votes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",Forbes,https://news.google.com/rss/articles/CBMipwFBVV95cUxOalRSTVE0SnBOQ3BtWlRvOUVLaFBtczJRb0VwMkFwZzZhOVZEZlZFZkRvZkZid3BhaHFmUkNXdFFVOENoXzhGckc1THlIM0ZiekNVWTYwaFJySzVsb05mMHctNnFxbVJqVV9oRlJwbjR1eWRIZTNENGpVQnBWUjJERE5fZ0ZxS3pTdi1PZlhkUzlSX2J4UnExTUdJZUdma1F6UG5Edl8tRQ?oc=5
2023-07-01 07:00:00,Trump takes over small city in South Carolina show of force - POLITICO,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNM3hhVnBvS0QtU3BnOTR5R0wxWkMwdkNvV0FVMWZnT0NlMEV5dmliYjFoQlNFbGhaZVY2bno0VTQ5c3JXQm54TllGZjZ6czBBb1hsOXNpeXJLaEtxWVB6ampVMkRWQzN2Si1CQW9SQ2lrd01xS1gyMEFUSWJXMzBiRjhn?oc=5"" target=""_blank"">Trump takes over small city in South Carolina show of force</a>&nbsp;&nbsp;<font color=""#6f6f6f"">POLITICO</font>",POLITICO,https://news.google.com/rss/articles/CBMiggFBVV95cUxNM3hhVnBvS0QtU3BnOTR5R0wxWkMwdkNvV0FVMWZnT0NlMEV5dmliYjFoQlNFbGhaZVY2bno0VTQ5c3JXQm54TllGZjZ6czBBb1hsOXNpeXJLaEtxWVB6ampVMkRWQzN2Si1CQW9SQ2lrd01xS1gyMEFUSWJXMzBiRjhn?oc=5
2023-06-30 07:00:00,Pharma stares down another term without a friend in the White House - Axios,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOdGc3eUpWdlpMZGdYSDlxV2dpQUVmUVdwTDJMcGI0MFF4Sl9feU04bXhJWXAzOGJwbWJhN3JxSm1QeVVIU2xfN0h3QlBnNUhHdlU5ZmZKaU5laTVjYTJaQUNYcl84cGIxazNGWlcwQWMxQ0NxdVlvOHFKanRrcDM3dzNwQi1Ndw?oc=5"" target=""_blank"">Pharma stares down another term without a friend in the White House</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>",Axios,https://news.google.com/rss/articles/CBMihgFBVV95cUxOdGc3eUpWdlpMZGdYSDlxV2dpQUVmUVdwTDJMcGI0MFF4Sl9feU04bXhJWXAzOGJwbWJhN3JxSm1QeVVIU2xfN0h3QlBnNUhHdlU5ZmZKaU5laTVjYTJaQUNYcl84cGIxazNGWlcwQWMxQ0NxdVlvOHFKanRrcDM3dzNwQi1Ndw?oc=5
2023-06-30 07:00:00,"Trump, DeSantis among the 2024 GOP hopefuls appearing at annual Moms for Liberty gathering - 90.5 WESA","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPZVBIbXAwenl5WTFJZGV5blVmNHJLWDhDTWNVWV9KYVJvbDVUY1hmcng0MUp3Q2Z5MzNvNWRIM2UyN3Q4ZTNTd0VwMl91RHMtUGVIcUxqMEtrYzBlSFlOUDRlWWVKTjJsdTJFQ05NVWVMNHJrcDBOQzYweFZRYmdsZHJnanY0c2l2TkhFMldiZ1Q3dHd5emc?oc=5"" target=""_blank"">Trump, DeSantis among the 2024 GOP hopefuls appearing at annual Moms for Liberty gathering</a>&nbsp;&nbsp;<font color=""#6f6f6f"">90.5 WESA</font>",90.5 WESA,https://news.google.com/rss/articles/CBMilgFBVV95cUxPZVBIbXAwenl5WTFJZGV5blVmNHJLWDhDTWNVWV9KYVJvbDVUY1hmcng0MUp3Q2Z5MzNvNWRIM2UyN3Q4ZTNTd0VwMl91RHMtUGVIcUxqMEtrYzBlSFlOUDRlWWVKTjJsdTJFQ05NVWVMNHJrcDBOQzYweFZRYmdsZHJnanY0c2l2TkhFMldiZ1Q3dHd5emc?oc=5
2023-06-30 07:00:00,We’re dealing with a spoiled toddler. It’s time to box up Trump mess and heal country | Opinion - Kansas City Star,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPYVZkOW0yalppQWNBZE83Z09xOUFUWGRWTDNVUGF4QUp2SjJVSk04UFVBMTlHNjgxbTdPNmpFZVplSXlDM01rV25vQWdqNlV4TjRPZlBsVFFCanh2MlI3US1JZFd2cll2U254UkZod3pJanpjbjYxUnY2UVFjem1sTmUzcGQ2WllCYmRyMNIBjAFBVV95cUxQN3lZQ25VMTN4enVpaEt1cTE4Z19kOTF0Qy11NWt5R0tmYmUyX1pnTmF2NjRoVHIzd1VXNk12dy1oTlJvWUR0RkVub3lFQk1zaVRXa3ZzM0l2WVNraEFWSmxPWUdrZjI2elNuSE0zejBLWFh1d012WUMtYUNLUWtKaUVTYjhFUm8wa01CXw?oc=5"" target=""_blank"">We’re dealing with a spoiled toddler. It’s time to box up Trump mess and heal country | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kansas City Star</font>",Kansas City Star,https://news.google.com/rss/articles/CBMijAFBVV95cUxPYVZkOW0yalppQWNBZE83Z09xOUFUWGRWTDNVUGF4QUp2SjJVSk04UFVBMTlHNjgxbTdPNmpFZVplSXlDM01rV25vQWdqNlV4TjRPZlBsVFFCanh2MlI3US1JZFd2cll2U254UkZod3pJanpjbjYxUnY2UVFjem1sTmUzcGQ2WllCYmRyMNIBjAFBVV95cUxQN3lZQ25VMTN4enVpaEt1cTE4Z19kOTF0Qy11NWt5R0tmYmUyX1pnTmF2NjRoVHIzd1VXNk12dy1oTlJvWUR0RkVub3lFQk1zaVRXa3ZzM0l2WVNraEFWSmxPWUdrZjI2elNuSE0zejBLWFh1d012WUMtYUNLUWtKaUVTYjhFUm8wa01CXw?oc=5
