發佈時間,標題,描述,來源,連結
2025-04-11 07:00:00,"After Major Coal Action by President Trump, Secretary Doug Burgum Visits Two Coal Mines in Alabama - U.S. Department of the Interior (.gov)","<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQWjFqMjlfVDVpMkZKUnVkYmxWT21RaEx0QnREVnRmcmphZk4zd092TGwwVHdFOEROVENvb3dwc25FZUowWGNiRjQ3UzFoVGF0bTZZVGNxRnhfNHZqdmZNTWNsTmp1LVN2TkJFSDQwdlBBZG1lUkt4RVhSVnQzRF9LNjhpcGM5RjNiaWdDVHIwUVNoSlNsVVl5SnlBNllaaExjXy1Na0ZLY2kxX3FpN1hEMmUyUVpTakJf?oc=5"" target=""_blank"">After Major Coal Action by President Trump, Secretary Doug Burgum Visits Two Coal Mines in Alabama</a>&nbsp;&nbsp;<font color=""#6f6f6f"">U.S. Department of the Interior (.gov)</font>",U.S. Department of the Interior (.gov),https://news.google.com/rss/articles/CBMiuAFBVV95cUxQWjFqMjlfVDVpMkZKUnVkYmxWT21RaEx0QnREVnRmcmphZk4zd092TGwwVHdFOEROVENvb3dwc25FZUowWGNiRjQ3UzFoVGF0bTZZVGNxRnhfNHZqdmZNTWNsTmp1LVN2TkJFSDQwdlBBZG1lUkt4RVhSVnQzRF9LNjhpcGM5RjNiaWdDVHIwUVNoSlNsVVl5SnlBNllaaExjXy1Na0ZLY2kxX3FpN1hEMmUyUVpTakJf?oc=5
2025-04-11 07:00:00,American Oversight Launches Investigation into Trump Administration’s Plan to Gut Social Security - American Oversight,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOUWJMUXluejRfVVRXUWdhRmZETUVlVWpNQjJYRmdRdU5QMzlxbkpmc1VMNmhVTml0Nmh4MDZPY3R5RkJ0cFZfTC1MWk9mcEVvTTJieVNNTlFLQ0FnSmVURzE0dG5MclhoZFR1SUlqZTVrdkRoLXdpaVR1cVVFcnRVMlFQTV9VdGVkUVNGMG56eVJGemxudGJuTUgtMGF1SHBlRTFtN0QzMkMwTFVLV01XTTdDbEs0MTBPQTJOdWhhd0xYbkZuRUE?oc=5"" target=""_blank"">American Oversight Launches Investigation into Trump Administration’s Plan to Gut Social Security</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Oversight</font>",American Oversight,https://news.google.com/rss/articles/CBMixgFBVV95cUxOUWJMUXluejRfVVRXUWdhRmZETUVlVWpNQjJYRmdRdU5QMzlxbkpmc1VMNmhVTml0Nmh4MDZPY3R5RkJ0cFZfTC1MWk9mcEVvTTJieVNNTlFLQ0FnSmVURzE0dG5MclhoZFR1SUlqZTVrdkRoLXdpaVR1cVVFcnRVMlFQTV9VdGVkUVNGMG56eVJGemxudGJuTUgtMGF1SHBlRTFtN0QzMkMwTFVLV01XTTdDbEs0MTBPQTJOdWhhd0xYbkZuRUE?oc=5
2025-04-11 07:00:00,"Caine confirmed as chairman of the Joint Chiefs of Staff, Trump’s top military adviser - DefenseScoop","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOVDhIei1PdE0tMUJWT0loUWt4elVZeWcyUHNvdDhkcEw1eFpqMXJvQk1UdFVRcWhWWHZyOGJ1b0RTbUpBWXhkOWx4bFBFdk1ydUF6VVVDNkRZQ2tVa0R3bW5PNlAwb0hSODFZU0k3aFNNUk9EMldMOFh3Sk5IblVaRnMwMzBkRVZKaW4wY2h3NlF3NXpVU2c?oc=5"" target=""_blank"">Caine confirmed as chairman of the Joint Chiefs of Staff, Trump’s top military adviser</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DefenseScoop</font>",DefenseScoop,https://news.google.com/rss/articles/CBMilgFBVV95cUxOVDhIei1PdE0tMUJWT0loUWt4elVZeWcyUHNvdDhkcEw1eFpqMXJvQk1UdFVRcWhWWHZyOGJ1b0RTbUpBWXhkOWx4bFBFdk1ydUF6VVVDNkRZQ2tVa0R3bW5PNlAwb0hSODFZU0k3aFNNUk9EMldMOFh3Sk5IblVaRnMwMzBkRVZKaW4wY2h3NlF3NXpVU2c?oc=5
2025-04-11 07:00:00,Smith v. Trump - American Civil Liberties Union,"<a href=""https://news.google.com/rss/articles/CBMiUkFVX3lxTE1pZFhUa2FybXQxd0JLVGhWaUk3N1o0cUlJNnNZWDQxa1lJbWNIQm1Yak04YjQ0Z2lQVF93MGhCRGJlNzVNWkN5VnVOVmRFVGNhYlE?oc=5"" target=""_blank"">Smith v. Trump</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Civil Liberties Union</font>",American Civil Liberties Union,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1pZFhUa2FybXQxd0JLVGhWaUk3N1o0cUlJNnNZWDQxa1lJbWNIQm1Yak04YjQ0Z2lQVF93MGhCRGJlNzVNWkN5VnVOVmRFVGNhYlE?oc=5
2025-04-10 07:00:00,Tracking Trump’s visits to his properties and other conflicts of interest - Citizens for Responsibility and Ethics in Washington,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPcm5saUl6ZnpGLTMxV3pFWWNiNlRpV1ZVSldkZzJpNnFLT19qQXBkaldPeFFWQm1oVG1yWDZKN1FkQzc2aHhfVjZnUXh6eWk0VWQ0LWxpWjQ1SEc4ZVZBT2FwdnVTMEhSdm84dm5VdV9NNFNIRDJJcXFvT1ZlalFJNEsya1FkeVpUa292N2VicEQydk8zd2pKVXE0NkRNTzM5d1F3cmZrSy1MZEpzLU9LZVJ2X0ZjUU1xR0ZMb3d0RThxbnhZV25YeXlSSzdOWUVNaEtiY0FKa1FTM28?oc=5"" target=""_blank"">Tracking Trump’s visits to his properties and other conflicts of interest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Citizens for Responsibility and Ethics in Washington</font>",Citizens for Responsibility and Ethics in Washington,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPcm5saUl6ZnpGLTMxV3pFWWNiNlRpV1ZVSldkZzJpNnFLT19qQXBkaldPeFFWQm1oVG1yWDZKN1FkQzc2aHhfVjZnUXh6eWk0VWQ0LWxpWjQ1SEc4ZVZBT2FwdnVTMEhSdm84dm5VdV9NNFNIRDJJcXFvT1ZlalFJNEsya1FkeVpUa292N2VicEQydk8zd2pKVXE0NkRNTzM5d1F3cmZrSy1MZEpzLU9LZVJ2X0ZjUU1xR0ZMb3d0RThxbnhZV25YeXlSSzdOWUVNaEtiY0FKa1FTM28?oc=5
2025-04-11 07:00:00,Trump seeks to end climate research at premier U.S. climate agency - Science | AAAS,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQVGY5cFVybG0yeExSTkhSOU10SUp4NjNxeGhlSi0xY0J3SUJhUVZ1X3NSWmJsU21ucXZjeFk2d3EwdEtUeUg4cmVsNmVjUmVYZUJHeGRVRUFhdzdZWHZxcXJQT1FpN3VOaDNsLWdKMk5yOUJWM3BaQi1FZlZYMWxueXlseVNIRmdZbzBHNWV4MTY5azZSMnhZWmxQY21mR2Y2?oc=5"" target=""_blank"">Trump seeks to end climate research at premier U.S. climate agency</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science | AAAS</font>",Science | AAAS,https://news.google.com/rss/articles/CBMioAFBVV95cUxQVGY5cFVybG0yeExSTkhSOU10SUp4NjNxeGhlSi0xY0J3SUJhUVZ1X3NSWmJsU21ucXZjeFk2d3EwdEtUeUg4cmVsNmVjUmVYZUJHeGRVRUFhdzdZWHZxcXJQT1FpN3VOaDNsLWdKMk5yOUJWM3BaQi1FZlZYMWxueXlseVNIRmdZbzBHNWV4MTY5azZSMnhZWmxQY21mR2Y2?oc=5
2025-04-10 07:00:00,Chief Justice temporarily allows Trump Administration to fire members of independent agencies - Consumer Finance Monitor,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOSG03QlNKZHFGc0d1N2Y5YlRqTkQwZEVOYlo0eExFM1dKM0FOSURXd0tULVBfZzM4U01qcEMyaEFzR19CUFQ0Nnl0d3N1anFNOEJFS0hOMjNUTURZeDRSalNvU3JhR0tzZFM4SWU0TDlHRHNZb3Q3RVZva3AzeVpOWE4xRnZNcVRkcFVHcEVOZjl2aVdXOUVVRGU0Z0dULVZEXzludV8tMkJFUzFsWVhPVmFxMjYtUlZzUThZYWluQXNzMWNOYnZfVWZUdmNZRjZLTE5mUkZORHlrd1hX?oc=5"" target=""_blank"">Chief Justice temporarily allows Trump Administration to fire members of independent agencies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Consumer Finance Monitor</font>",Consumer Finance Monitor,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOSG03QlNKZHFGc0d1N2Y5YlRqTkQwZEVOYlo0eExFM1dKM0FOSURXd0tULVBfZzM4U01qcEMyaEFzR19CUFQ0Nnl0d3N1anFNOEJFS0hOMjNUTURZeDRSalNvU3JhR0tzZFM4SWU0TDlHRHNZb3Q3RVZva3AzeVpOWE4xRnZNcVRkcFVHcEVOZjl2aVdXOUVVRGU0Z0dULVZEXzludV8tMkJFUzFsWVhPVmFxMjYtUlZzUThZYWluQXNzMWNOYnZfVWZUdmNZRjZLTE5mUkZORHlrd1hX?oc=5
2025-04-10 07:00:00,The Economic Effects of President Trump’s Tariffs - Penn Wharton Budget Model,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPYkg2eWJSaGhkdlV1VmxFOEJhbEFQdGRpNmp4RVdmOXZpWWRJSkVULWx6OENfd056Q2Rfd0EyM2JCM0F2ZFZsNmN1ZXJDWHZpVV82OVdtU2RZRE9hb29MSDZrN1pGN245N3dlc3lNSXUyYU9DZHFOb3NrODZDSmlVMWFuM3RMM29xeXI2SUprOTYyTHlhQmE3ZnF4X2NNSjlt?oc=5"" target=""_blank"">The Economic Effects of President Trump’s Tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Penn Wharton Budget Model</font>",Penn Wharton Budget Model,https://news.google.com/rss/articles/CBMioAFBVV95cUxPYkg2eWJSaGhkdlV1VmxFOEJhbEFQdGRpNmp4RVdmOXZpWWRJSkVULWx6OENfd056Q2Rfd0EyM2JCM0F2ZFZsNmN1ZXJDWHZpVV82OVdtU2RZRE9hb29MSDZrN1pGN245N3dlc3lNSXUyYU9DZHFOb3NrODZDSmlVMWFuM3RMM29xeXI2SUprOTYyTHlhQmE3ZnF4X2NNSjlt?oc=5
2025-04-11 07:00:00,"In New Orders, Trump Targets Foes of His Stolen-Election Claims - Cato Institute","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQZGp2MzlLd0kwREdBYTVaa002SjZMbFNFajRILXlZRXJPRF9BcV9aSXhLb0x1RjJnNHR6N0Znc2xlQXFScjFIaXgyRVV1cDR4cm41VmwwUlhBQmN2Z1p3ZFF1bWszQWFRT3NyS1F1N041clZMazU5S3RNMDVXLWY0STJvVExTYlUyYVpGMEJEeTA4WVU?oc=5"" target=""_blank"">In New Orders, Trump Targets Foes of His Stolen-Election Claims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cato Institute</font>",Cato Institute,https://news.google.com/rss/articles/CBMikwFBVV95cUxQZGp2MzlLd0kwREdBYTVaa002SjZMbFNFajRILXlZRXJPRF9BcV9aSXhLb0x1RjJnNHR6N0Znc2xlQXFScjFIaXgyRVV1cDR4cm41VmwwUlhBQmN2Z1p3ZFF1bWszQWFRT3NyS1F1N041clZMazU5S3RNMDVXLWY0STJvVExTYlUyYVpGMEJEeTA4WVU?oc=5
2025-04-11 07:00:00,Clip: What's next for Trump after triggering economic chaos? - PBS,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOMFhWbWZENy16b3NIRnB3VjhZTlhwb2czS2JXcTY3V09ac3MxZ2NBbU5jTmRVQzJ3Zjh2S1pfVThVT3BCYVJLc1pvNWY4bmwyUjlHWlpEcnBRRDBVY1VRWFlVbW1IUml4T2Rmb0hPMmF1ZnN0blR3QlBTZldMSXN1WHBtOW8xRGF0dEhJZVN6bDNVbE9BY1NUWWFmVnplMGpmTVV6Y1lVcVY0QQ?oc=5"" target=""_blank"">Clip: What's next for Trump after triggering economic chaos?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",PBS,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOMFhWbWZENy16b3NIRnB3VjhZTlhwb2czS2JXcTY3V09ac3MxZ2NBbU5jTmRVQzJ3Zjh2S1pfVThVT3BCYVJLc1pvNWY4bmwyUjlHWlpEcnBRRDBVY1VRWFlVbW1IUml4T2Rmb0hPMmF1ZnN0blR3QlBTZldMSXN1WHBtOW8xRGF0dEhJZVN6bDNVbE9BY1NUWWFmVnplMGpmTVV6Y1lVcVY0QQ?oc=5
