日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/05/02,"48,129,292","45,206,565,214",938.00,950.00,932.00,950.00,+42.00,"99,509"
114/05/05,"56,516,129","53,055,259,965",956.00,957.00,923.00,938.00,-12.00,"93,285"
114/05/06,"43,358,708","40,011,158,770",916.00,930.00,916.00,920.00,-18.00,"74,918"
114/05/07,"39,021,595","36,011,806,469",925.00,932.00,911.00,928.00,+8.00,"50,267"
114/05/08,"30,777,988","28,602,519,292",933.00,939.00,918.00,918.00,-10.00,"39,133"
114/05/09,"40,878,730","38,557,125,038",938.00,949.00,934.00,949.00,+31.00,"68,630"
114/05/12,"25,668,469","24,554,284,001",954.00,962.00,952.00,957.00,+8.00,"44,647"
114/05/13,"50,960,522","49,747,284,080",990.00,990.00,969.00,969.00,+12.00,"72,252"
114/05/14,"55,061,671","54,697,821,594",990.00,999.00,988.00,999.00,+30.00,"105,868"
114/05/15,"28,518,212","28,422,046,465","1,000.00","1,000.00",993.00,993.00,-6.00,"50,265"
