日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/03,"73,279,419","74,076,141,634","1,000.00","1,020.00","1,000.00","1,020.00",-20.00,"208,673"
114/03/04,"70,879,417","71,031,410,815",996.00,"1,010.00",996.00,"1,000.00",-20.00,"184,239"
114/03/05,"45,086,222","46,126,315,408","1,020.00","1,030.00","1,015.00","1,020.00",+20.00,"63,259"
114/03/06,"49,318,590","49,937,586,396","1,020.00","1,025.00","1,005.00","1,005.00",-15.00,"99,898"
114/03/07,"50,358,724","50,550,677,397","1,005.00","1,010.00","1,000.00","1,005.00", 0.00,"95,905"
114/03/10,"55,410,836","55,278,923,810","1,005.00","1,005.00",992.00,998.00,-7.00,"189,791"
114/03/11,"58,764,791","57,064,143,987",969.00,979.00,963.00,971.00,-27.00,"323,403"
114/03/12,"38,527,201","37,951,553,847",980.00,995.00,976.00,988.00,+17.00,"132,537"
114/03/13,"42,915,696","42,199,819,801","1,000.00","1,005.00",965.00,965.00,-23.00,"192,169"
114/03/14,"42,394,920","40,803,705,615",965.00,969.00,955.00,959.00,-6.00,"163,735"
114/03/17,"35,012,870","34,177,107,575",977.00,985.00,968.00,970.00,+11.00,"77,808"
114/03/18,"25,716,157","24,986,151,171",976.00,978.00,968.00,971.00,X0.00,"64,687"
114/03/19,"43,493,556","41,620,146,409",965.00,967.00,950.00,952.00,-19.00,"234,877"
114/03/20,"31,993,556","31,303,215,198",978.00,985.00,971.00,985.00,+33.00,"61,507"
114/03/21,"39,109,000","38,131,360,000",985.00,987.00,970.00,972.00,-13.00,"11,271"
