發佈時間,標題,描述,來源,連結
2023-04-23 07:00:00,TSMC seeking up to $15 billion from federal government for Arizona chip plants - KTAR.com,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOU2JNZy1xOEd1MVFmdlA2b1R4WEVCMmI5SmJtN05VSFo1VFZUcHFiZk5Qajdoa0hKRDZZNm1MNTdlWi14dTdRTDhxOUxDUVRERnZKYkxDZUZCaVpnMEpZM1Q2NXFiMVRINUVTRzk4aFZHWmJBV3E1T2V0MS05enY2OGpHS0xOTnluazhhektIbkpvLVZMS1BMS2RrblBOUlBDSWdfTFB2THZDb1ZEdjhITzVxdnRZbFU?oc=5"" target=""_blank"">TSMC seeking up to $15 billion from federal government for Arizona chip plants</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTAR.com</font>",KTAR.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxOU2JNZy1xOEd1MVFmdlA2b1R4WEVCMmI5SmJtN05VSFo1VFZUcHFiZk5Qajdoa0hKRDZZNm1MNTdlWi14dTdRTDhxOUxDUVRERnZKYkxDZUZCaVpnMEpZM1Q2NXFiMVRINUVTRzk4aFZHWmJBV3E1T2V0MS05enY2OGpHS0xOTnluazhhektIbkpvLVZMS1BMS2RrblBOUlBDSWdfTFB2THZDb1ZEdjhITzVxdnRZbFU?oc=5
2023-04-22 07:00:00,"Chip industry slowdown will last longer than expected, manufacturers warn - Financial Times","<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFA0cUlkVm5aa3l5X1c2d0xGUUZaWWlscjBwT0k0MndqRkNOeW5PdEk4UmNOT0x0TmtNMFdscXIyRmxQTGxRdzlmaVVHVk94YnRRcmpBcE1RQmJqWkxnT3pYTkpUelBTUVZpeklNWG5jLTI?oc=5"" target=""_blank"">Chip industry slowdown will last longer than expected, manufacturers warn</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Times</font>",Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTFA0cUlkVm5aa3l5X1c2d0xGUUZaWWlscjBwT0k0MndqRkNOeW5PdEk4UmNOT0x0TmtNMFdscXIyRmxQTGxRdzlmaVVHVk94YnRRcmpBcE1RQmJqWkxnT3pYTkpUelBTUVZpeklNWG5jLTI?oc=5
2023-04-22 07:00:00,"The Chips Are Down For TSMC, But Not For Long - The Next Platform","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNRDJEV3lOa1JYUkR3U1dNQklzNTVXVzMtb3dZSldKemNRMXM3bGRwcjI5TmUzT0taOFNKVENDVGZUbDdWNXk4eXhVSG1WY3pSdTM1ZnhrdGRoR2JxcUxzemhKYTVSVVN0R3lFYV9WcWN6OVFyMHBPcWJVekd2eUFqUHlTYnp5Z2h5cHVIak1B0gGTAUFVX3lxTE9zNXBkSWQzcGxkV25Bc3FabE9WekJhSXVxZnRFeTNQdFRSRWRRVkVoSWpyQ3k4ZmRhOHZLUnhEVlhCdzAxZFdXeFczb1g1TTdHS0hEYWQzVUM4TjBGWmtwY3lzemFJMGtxV0ItbGZ5YklaTThXYjBVQ19wdXNOUVNmVlc4SG1mNGNIcnp0T05sb1pSdw?oc=5"" target=""_blank"">The Chips Are Down For TSMC, But Not For Long</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Next Platform</font>",The Next Platform,https://news.google.com/rss/articles/CBMijgFBVV95cUxNRDJEV3lOa1JYUkR3U1dNQklzNTVXVzMtb3dZSldKemNRMXM3bGRwcjI5TmUzT0taOFNKVENDVGZUbDdWNXk4eXhVSG1WY3pSdTM1ZnhrdGRoR2JxcUxzemhKYTVSVVN0R3lFYV9WcWN6OVFyMHBPcWJVekd2eUFqUHlTYnp5Z2h5cHVIak1B0gGTAUFVX3lxTE9zNXBkSWQzcGxkV25Bc3FabE9WekJhSXVxZnRFeTNQdFRSRWRRVkVoSWpyQ3k4ZmRhOHZLUnhEVlhCdzAxZFdXeFczb1g1TTdHS0hEYWQzVUM4TjBGWmtwY3lzemFJMGtxV0ItbGZ5YklaTThXYjBVQ19wdXNOUVNmVlc4SG1mNGNIcnp0T05sb1pSdw?oc=5
2023-04-23 07:00:00,Why is TSMC experiencing ‘negative growth’ for the first time in 14 years?｜Industry｜2023-04-23｜web only - CommonWealth Magazine,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTFAzdm1Yc09hZ0xmNlNxZ3ZqMkFremltZElIdnFkSVNmbXFYM3k0NG5rbmN1c091bllCMzF4c0ZoVGY5R0FYcTkyaUp6dFJVcnNRWnJnakg3WUhjcEE1U2ZhM0FjU0ZkQ0k?oc=5"" target=""_blank"">Why is TSMC experiencing ‘negative growth’ for the first time in 14 years?｜Industry｜2023-04-23｜web only</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CommonWealth Magazine</font>",CommonWealth Magazine,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFAzdm1Yc09hZ0xmNlNxZ3ZqMkFremltZElIdnFkSVNmbXFYM3k0NG5rbmN1c091bllCMzF4c0ZoVGY5R0FYcTkyaUp6dFJVcnNRWnJnakg3WUhjcEE1U2ZhM0FjU0ZkQ0k?oc=5
2023-04-23 07:00:00,Intel Boosts Meteor Lake CPU & Arc Graphics Tile With “Adamantine” L4 Cache - Wccftech,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPcmlqMmEwRVhOZzZDaDRTSXhrYThhRjFpTS04WkJZTWZON0JuRE04UGxkdk1kenJLcUhLSmktbmJfY29qUG5JTUVCMTBUcWFLdk5hdWFoQVlMUnM4Q0Z6cWFFc1M5TzdtSGE5cWgyb2Rlb0VMMjhQWXpjTGYwRm15MjVjdFpxZGw4Q3hmVXVuVHdPaEdoLTd1bNIBngFBVV95cUxNREYzZGdtcGRweWFuTlRtTkNpTUdCcGdMV3NfSmZfUW9TZG9uTWllTEhCTEtLRGVNMkdBbURzeFBLTHJDdmtRQlBkWkY0NC1KTXpneGltMm4taEZoUGhwckpsaVQxRlBoUm11cTJraXFaVWQ2cnpwNjQtU0ZhakRVQWxOdGpwOFgwbDF3ekt6LXlZdklRcDJEckZVbkt1QQ?oc=5"" target=""_blank"">Intel Boosts Meteor Lake CPU & Arc Graphics Tile With “Adamantine” L4 Cache</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wccftech</font>",Wccftech,https://news.google.com/rss/articles/CBMimAFBVV95cUxPcmlqMmEwRVhOZzZDaDRTSXhrYThhRjFpTS04WkJZTWZON0JuRE04UGxkdk1kenJLcUhLSmktbmJfY29qUG5JTUVCMTBUcWFLdk5hdWFoQVlMUnM4Q0Z6cWFFc1M5TzdtSGE5cWgyb2Rlb0VMMjhQWXpjTGYwRm15MjVjdFpxZGw4Q3hmVXVuVHdPaEdoLTd1bNIBngFBVV95cUxNREYzZGdtcGRweWFuTlRtTkNpTUdCcGdMV3NfSmZfUW9TZG9uTWllTEhCTEtLRGVNMkdBbURzeFBLTHJDdmtRQlBkWkY0NC1KTXpneGltMm4taEZoUGhwckpsaVQxRlBoUm11cTJraXFaVWQ2cnpwNjQtU0ZhakRVQWxOdGpwOFgwbDF3ekt6LXlZdklRcDJEckZVbkt1QQ?oc=5
2023-04-22 07:00:00,WW II ship that sank with over 1K Allied POWs found in 'extraordinary' discovery - FOX 10 News Phoenix,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPZ2N6UkF5cFFUYXhDbTlFSVdaUFFENHc0YmdmMDhmTU1MSDNsRmlweHVNTWp5dC03WDBsOVVZUEZBR3NsTVAxWjJOSE4wUjR5Qkd6MW1EbUlMd1o0dGpiMHRIN01fSk1QbWxvbEVVRGFQSXVGZTQ4cTFuU3hxSkZKRmtjejRqWWZkV3Bab2FFMUlSbkFCZ0xIZ3FhTdIBoAFBVV95cUxPMF9lY2V0MUN4Y1hVYnNuak55eC1rZlVyZGY4VlJOa09fNnFvTGw0WF9uZHFnRFJvaWZQWk5uWWV1dVJvVmxOZFNGODdielVDVlBJRlBvaXd3SlJHY3pyZTVhcWZyRE1XSThEV3Q3SUE2dHFiZ1QzanJRdjczdmhpSGJCY3RNbm5nU1I5ZWtBaGtZZExpb09vSmxvemZia0dL?oc=5"" target=""_blank"">WW II ship that sank with over 1K Allied POWs found in 'extraordinary' discovery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FOX 10 News Phoenix</font>",FOX 10 News Phoenix,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZ2N6UkF5cFFUYXhDbTlFSVdaUFFENHc0YmdmMDhmTU1MSDNsRmlweHVNTWp5dC03WDBsOVVZUEZBR3NsTVAxWjJOSE4wUjR5Qkd6MW1EbUlMd1o0dGpiMHRIN01fSk1QbWxvbEVVRGFQSXVGZTQ4cTFuU3hxSkZKRmtjejRqWWZkV3Bab2FFMUlSbkFCZ0xIZ3FhTdIBoAFBVV95cUxPMF9lY2V0MUN4Y1hVYnNuak55eC1rZlVyZGY4VlJOa09fNnFvTGw0WF9uZHFnRFJvaWZQWk5uWWV1dVJvVmxOZFNGODdielVDVlBJRlBvaXd3SlJHY3pyZTVhcWZyRE1XSThEV3Q3SUE2dHFiZ1QzanJRdjczdmhpSGJCY3RNbm5nU1I5ZWtBaGtZZExpb09vSmxvemZia0dL?oc=5
2023-04-23 07:00:00,Three Taiwanese among five dead in Australia car crash - 台北時報,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE54OVZkNklwZG53b0lQOElhQ2o1MXJsazE2TnJ1NzNWWTBVN2kwM2VZbHRqQUFoMk1sUW11TEZfYlhSUmRaLURXeDlGMW9Fc2trbUVOaGZkNnc1Nzg5SVRzMmpKaEtHcFFlNmo0NDRSZW9JZDZ2aHVDMUN3?oc=5"" target=""_blank"">Three Taiwanese among five dead in Australia car crash</a>&nbsp;&nbsp;<font color=""#6f6f6f"">台北時報</font>",台北時報,https://news.google.com/rss/articles/CBMiekFVX3lxTE54OVZkNklwZG53b0lQOElhQ2o1MXJsazE2TnJ1NzNWWTBVN2kwM2VZbHRqQUFoMk1sUW11TEZfYlhSUmRaLURXeDlGMW9Fc2trbUVOaGZkNnc1Nzg5SVRzMmpKaEtHcFFlNmo0NDRSZW9JZDZ2aHVDMUN3?oc=5
2023-04-23 07:00:00,7 undervalued semiconductor stocks to consider now - Dr Wealth,"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE04SzZuQ1NnT21qNjEtc3FidWlWdE83Yjhnbkt4WHlyaVNfRWx2TU0xNG9VTnM0M2dMWm1jbU1GeC0wNEJhc1VjUWFPOUdZZFFWRWJDRUJJV0N4WHljbFBoVjdkeEM?oc=5"" target=""_blank"">7 undervalued semiconductor stocks to consider now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dr Wealth</font>",Dr Wealth,https://news.google.com/rss/articles/CBMiZEFVX3lxTE04SzZuQ1NnT21qNjEtc3FidWlWdE83Yjhnbkt4WHlyaVNfRWx2TU0xNG9VTnM0M2dMWm1jbU1GeC0wNEJhc1VjUWFPOUdZZFFWRWJDRUJJV0N4WHljbFBoVjdkeEM?oc=5
2023-04-22 07:00:00,5 best Minecraft mall designs - Sportskeeda,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1vRzV1dEVjYjQybUdVRy1jbmllc1ZkLUFQZ3FzS3RQckxVS1Bhakt3YjNtckQzR21pNTlCZS1iTHdyWlZLb2ZEcjlaeGc3UXExa2pGM0s2T2JEVFhnblgtWEtnWkJuRmlLYWZlYlg4VE5jcUU?oc=5"" target=""_blank"">5 best Minecraft mall designs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sportskeeda</font>",Sportskeeda,https://news.google.com/rss/articles/CBMic0FVX3lxTE1vRzV1dEVjYjQybUdVRy1jbmllc1ZkLUFQZ3FzS3RQckxVS1Bhakt3YjNtckQzR21pNTlCZS1iTHdyWlZLb2ZEcjlaeGc3UXExa2pGM0s2T2JEVFhnblgtWEtnWkJuRmlLYWZlYlg4VE5jcUU?oc=5
2023-04-22 07:00:00,"NVIDIA GeForce RTX 4060 Ti Might Be Priced At $399 US, Same Pricing As 3060 Ti With 3070 Ti Performance - Wccftech","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNUd6akVRSDlqV194czhCMTFXSlpndUV0V3F3RVRjTld6NkE2OHFVWmpTZ1ZEWWVKcFMxeHp5MXNGOGNxVU04WnVuN0d1cDFTek1Rd3FSWERmQkJLQU9NZTlFSnRaMlotRHlEOFFFMlR0dTNnYVd1VG9rNkk2OFFEMWtPY01IZUFEUzd0MFpqQUFCMU44d0RwOGNGaGJNQVJ1UFRoRnFBX09Pd9IBrwFBVV95cUxOekg0S2NHVzRHWGRlcUZKeG93YkhyLWt1dmJTSVlaeUJnN3VyZGRheDBJb1Bqa3o4UWFLa2lWZEpjTWFRUzJiQlVqNndyY0pyZjdZTHRPZnpxUl9qYW45bXNtYUFXY3pQaEhQWVhDWElnZ3V5MHptZkYwZHRYMTRLZDktWFZBNDRLeDUyQ0htbkhfXzdLUEFPdWUzcFBiSDhWcHY3a1U4bHhGbDNsQUdZ?oc=5"" target=""_blank"">NVIDIA GeForce RTX 4060 Ti Might Be Priced At $399 US, Same Pricing As 3060 Ti With 3070 Ti Performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wccftech</font>",Wccftech,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNUd6akVRSDlqV194czhCMTFXSlpndUV0V3F3RVRjTld6NkE2OHFVWmpTZ1ZEWWVKcFMxeHp5MXNGOGNxVU04WnVuN0d1cDFTek1Rd3FSWERmQkJLQU9NZTlFSnRaMlotRHlEOFFFMlR0dTNnYVd1VG9rNkk2OFFEMWtPY01IZUFEUzd0MFpqQUFCMU44d0RwOGNGaGJNQVJ1UFRoRnFBX09Pd9IBrwFBVV95cUxOekg0S2NHVzRHWGRlcUZKeG93YkhyLWt1dmJTSVlaeUJnN3VyZGRheDBJb1Bqa3o4UWFLa2lWZEpjTWFRUzJiQlVqNndyY0pyZjdZTHRPZnpxUl9qYW45bXNtYUFXY3pQaEhQWVhDWElnZ3V5MHptZkYwZHRYMTRLZDktWFZBNDRLeDUyQ0htbkhfXzdLUEFPdWUzcFBiSDhWcHY3a1U4bHhGbDNsQUdZ?oc=5
