發佈時間,標題,描述,來源,連結
2023-11-25 08:00:00,Ccilu turns TSMC's silicon waste into eco-friendly shoes - Focus Taiwan,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE5EZEg3SDU2dzhPZktzZXhaWUJSdDJjNFpWR1NGMnE2aGdramJlRXNxUkNaN1JjTDFvQnlYT285dlNOc09SRUhkTTJDUGYxN0t0RFBJa2dMYw?oc=5"" target=""_blank"">Ccilu turns TSMC's silicon waste into eco-friendly shoes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Focus Taiwan</font>",Focus Taiwan,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5EZEg3SDU2dzhPZktzZXhaWUJSdDJjNFpWR1NGMnE2aGdramJlRXNxUkNaN1JjTDFvQnlYT285dlNOc09SRUhkTTJDUGYxN0t0RFBJa2dMYw?oc=5
2023-11-26 08:00:00,Chip firms to invest US$210bn globally - 台北時報,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE02Ql9Bc0Joc082aTB2NDZ4ODhLV1I0aXRDVGpGeVEyLThhZVRvT3FTUzhjVjNOZUs1T3JZQmhpX3o4YnJKZEk5SmR6LVhVdG11MTdwUU1TLTJLVEpBWnZOMC03V2NGQ2pEMkJDTDZxQnVBdF9KTHNBdw?oc=5"" target=""_blank"">Chip firms to invest US$210bn globally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">台北時報</font>",台北時報,https://news.google.com/rss/articles/CBMieEFVX3lxTE02Ql9Bc0Joc082aTB2NDZ4ODhLV1I0aXRDVGpGeVEyLThhZVRvT3FTUzhjVjNOZUs1T3JZQmhpX3o4YnJKZEk5SmR6LVhVdG11MTdwUU1TLTJLVEpBWnZOMC03V2NGQ2pEMkJDTDZxQnVBdF9KTHNBdw?oc=5
2023-11-25 08:00:00,Japan well on the way to chip-making’s vanguard - Asia Times,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOY2J1T0NPYUtzdVBEQjUyUHJteW5GNDdwbS1lbllOSkNnTWstT2dWZk4wZjZQYlVWUFVlQl9XVDhRb3hQSjhJcmUtVWJydTNwQklta0xuVEVHMXN3dWRCcXZxNXZ2RkF0TUhncHhCYm5tRWdjdE5ZUU5tSENhWjdsRkR4UQ?oc=5"" target=""_blank"">Japan well on the way to chip-making’s vanguard</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asia Times</font>",Asia Times,https://news.google.com/rss/articles/CBMigwFBVV95cUxOY2J1T0NPYUtzdVBEQjUyUHJteW5GNDdwbS1lbllOSkNnTWstT2dWZk4wZjZQYlVWUFVlQl9XVDhRb3hQSjhJcmUtVWJydTNwQklta0xuVEVHMXN3dWRCcXZxNXZ2RkF0TUhncHhCYm5tRWdjdE5ZUU5tSENhWjdsRkR4UQ?oc=5
2023-11-26 08:00:00,"‘Chip Guru’ Believes It Is Possible For Huawei To Make a 5nm SoC, But On Existing DUV Equipment, It Will Be Very Costly - Wccftech","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE5EUkttVFBHeWF5dDVOUzFzemdQc1BTTHZrZ25wSkUxdzBUaHRldUtBblRhaXhkVno2X2VIei1yQUtzWG1VTWMyMGhKckVqSDFyVEtaTVJrV0ZINEhmaGw5T3FyX0dub3BwWnFQYkVKd1JLbXowa3fSAXtBVV95cUxQcXlxVmFGTVJBWXBHTEdFUkNUNUlCZURTMmpXUmlEV2ZBVURmcUpQMGlmLUpxZ2Yyd1c3S1g3bi1na2czRnZvem5IdnljektseXRBRjRWX0VhQTBTRDA1bGxLZXhxbVdCV1NZcV9Gb0JpaElxZEFxUnRVVU0?oc=5"" target=""_blank"">‘Chip Guru’ Believes It Is Possible For Huawei To Make a 5nm SoC, But On Existing DUV Equipment, It Will Be Very Costly</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wccftech</font>",Wccftech,https://news.google.com/rss/articles/CBMidkFVX3lxTE5EUkttVFBHeWF5dDVOUzFzemdQc1BTTHZrZ25wSkUxdzBUaHRldUtBblRhaXhkVno2X2VIei1yQUtzWG1VTWMyMGhKckVqSDFyVEtaTVJrV0ZINEhmaGw5T3FyX0dub3BwWnFQYkVKd1JLbXowa3fSAXtBVV95cUxQcXlxVmFGTVJBWXBHTEdFUkNUNUlCZURTMmpXUmlEV2ZBVURmcUpQMGlmLUpxZ2Yyd1c3S1g3bi1na2czRnZvem5IdnljektseXRBRjRWX0VhQTBTRDA1bGxLZXhxbVdCV1NZcV9Gb0JpaElxZEFxUnRVVU0?oc=5
2023-11-26 08:00:00,MOFA welcomes joint EU-Canada statement on Strait - 台北時報,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE5VWXowMmU2QkZWMDhRbE5rdk1SRW1Vakh3UlIyQi1XaWwwOHZFX2t6aHJfUWgzd0Vidm5Id19yMllndVMzMDh0MlYwY0Q2dXVvTVl2dTIxMlhaRkZWLWw3V3JVbFU3RkNEeU5WUFBCV0RLX2tmdnZKQXBB?oc=5"" target=""_blank"">MOFA welcomes joint EU-Canada statement on Strait</a>&nbsp;&nbsp;<font color=""#6f6f6f"">台北時報</font>",台北時報,https://news.google.com/rss/articles/CBMiekFVX3lxTE5VWXowMmU2QkZWMDhRbE5rdk1SRW1Vakh3UlIyQi1XaWwwOHZFX2t6aHJfUWgzd0Vidm5Id19yMllndVMzMDh0MlYwY0Q2dXVvTVl2dTIxMlhaRkZWLWw3V3JVbFU3RkNEeU5WUFBCV0RLX2tmdnZKQXBB?oc=5
2023-11-25 08:00:00,Taiwan IC suppliers to invest US$210 billion over 5 years: NDC head - Focus Taiwan,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE9QdkRLTV9BZU8yQjZVazRNQ25TWmFGbTkzNUVTRnBnbUE2d2ZKVjNUeHdwNUpNQjZGR0JvTGZLMXAwcFBLYVVDNDNXNjAxQVFPS0xvUDNHUQ?oc=5"" target=""_blank"">Taiwan IC suppliers to invest US$210 billion over 5 years: NDC head</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Focus Taiwan</font>",Focus Taiwan,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9QdkRLTV9BZU8yQjZVazRNQ25TWmFGbTkzNUVTRnBnbUE2d2ZKVjNUeHdwNUpNQjZGR0JvTGZLMXAwcFBLYVVDNDNXNjAxQVFPS0xvUDNHUQ?oc=5
2023-11-25 08:00:00,‘Invest in Taiwan’ initiative attracts solar cell maker - 台北時報,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTFBULU0ycUdldDMxdHBySWhKdnVLb1hIQ2xoRVY4Z3hSS1piZVNYdUtUMnppQkMxUDB0SEpVQk9INUc3YlNwQU1zeWZ6TU0xZjlUUXZyYVdKQW9fSWxRVGlfU0hsQnZFRmNoZEJjZjVLeFR3bXpmSXc?oc=5"" target=""_blank"">‘Invest in Taiwan’ initiative attracts solar cell maker</a>&nbsp;&nbsp;<font color=""#6f6f6f"">台北時報</font>",台北時報,https://news.google.com/rss/articles/CBMidkFVX3lxTFBULU0ycUdldDMxdHBySWhKdnVLb1hIQ2xoRVY4Z3hSS1piZVNYdUtUMnppQkMxUDB0SEpVQk9INUc3YlNwQU1zeWZ6TU0xZjlUUXZyYVdKQW9fSWxRVGlfU0hsQnZFRmNoZEJjZjVLeFR3bXpmSXc?oc=5
2023-11-26 08:00:00,Intel 15th Gen Arrow Lake CPUs to Feature Ray Tracing Cores and XMX Units for XeSS Upscaling - Hardware Times,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPMV9CaXZ2M2RVZElpc04wSW5EaDdlWEFiRkFuNmxTZTBRVDVNQ3U0QVR0T2s5bXYzQzlkN0FlMm1yWmNLRnZWMUNVUDVLLUYxWUFYUjM1UnBlVS1sQnpPWjExdUdBdU1OR21EOG9ZdmtiZzJCaHFXZHprak11TVV4akxlWUZqdEJ4WW1hZzYwbElEWVRnc2pOVDFQN2JPcWs2WWIwU0RPaVAxcXB1dVFFak5Qekstd21XbHhJ?oc=5"" target=""_blank"">Intel 15th Gen Arrow Lake CPUs to Feature Ray Tracing Cores and XMX Units for XeSS Upscaling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hardware Times</font>",Hardware Times,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPMV9CaXZ2M2RVZElpc04wSW5EaDdlWEFiRkFuNmxTZTBRVDVNQ3U0QVR0T2s5bXYzQzlkN0FlMm1yWmNLRnZWMUNVUDVLLUYxWUFYUjM1UnBlVS1sQnpPWjExdUdBdU1OR21EOG9ZdmtiZzJCaHFXZHprak11TVV4akxlWUZqdEJ4WW1hZzYwbElEWVRnc2pOVDFQN2JPcWs2WWIwU0RPaVAxcXB1dVFFak5Qekstd21XbHhJ?oc=5
