發佈時間,標題,描述,來源,連結
2023-10-21 07:00:00,TSMC provides update on progress at $40B Phoenix chip factory - KTAR.com,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxONndpN2hMTmpGRUpDOG5aWmFoZUVJVUNwVzZvaENrWUZEaS1NelJRdW1kV1dqeTZzZVZqQWdnN0l2Uk5Vcmg1UXE1SmdUY1F0aG1tdVltTEExb2J5aEJJek5rQzZIV0ludld5eWNRUkE1Rk9ycXVVSjQtWFB5d091eUxIT0hUTXY1VVk3cHFCUDgzNGdtMGpxRW5ubkVqcGs0RGlvU21qZlFVR0NTSG1nSGEwUE5mX2dlTGQyZE5BVXk?oc=5"" target=""_blank"">TSMC provides update on progress at $40B Phoenix chip factory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTAR.com</font>",KTAR.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxONndpN2hMTmpGRUpDOG5aWmFoZUVJVUNwVzZvaENrWUZEaS1NelJRdW1kV1dqeTZzZVZqQWdnN0l2Uk5Vcmg1UXE1SmdUY1F0aG1tdVltTEExb2J5aEJJek5rQzZIV0ludld5eWNRUkE1Rk9ycXVVSjQtWFB5d091eUxIT0hUTXY1VVk3cHFCUDgzNGdtMGpxRW5ubkVqcGs0RGlvU21qZlFVR0NTSG1nSGEwUE5mX2dlTGQyZE5BVXk?oc=5
2023-10-22 07:00:00,Where Will TSMC Stock Be in 1 Year? - The Motley Fool,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxNSVdQQlZoN2VCMW1YLTA5NVQ1UzNnR01Dc05IMEZWZFcwVWM0cnZYWjAtX3daUHM0eHdYVjZJYkgtZFdEc1VNX0gzeUx1d29oR1pLMUtwcERGaEpnelZFTjU4NUpWVFdGdlNKUmFQX3BtOEpoXzhYZW9TWF9CMTg2bHY2cw?oc=5"" target=""_blank"">Where Will TSMC Stock Be in 1 Year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Motley Fool</font>",The Motley Fool,https://news.google.com/rss/articles/CBMigwFBVV95cUxNSVdQQlZoN2VCMW1YLTA5NVQ1UzNnR01Dc05IMEZWZFcwVWM0cnZYWjAtX3daUHM0eHdYVjZJYkgtZFdEc1VNX0gzeUx1d29oR1pLMUtwcERGaEpnelZFTjU4NUpWVFdGdlNKUmFQX3BtOEpoXzhYZW9TWF9CMTg2bHY2cw?oc=5
2023-10-21 07:00:00,The advanced silicon chips on which the future depends are all made in Taiwan – here’s why that matters - The Guardian,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQeWNJQ0lXRzRURThQWjhtQlRFT2ZpVE9lcUoxMllMRHhEUHRMVS1xUjNXWVE1eUZhaVhBUWMySjRyZTVnbW9hZ1B2QXdhZ0U1TjJuNGg2SFRRT0RNSGUyMzd0M3IzT0I3MHhSX0Y0YndTZHR1d2dBcHE1R1RKNmRfRFZ4SF90VGQ0dlNZdG9LSGdSazdpNGIyWkVyRXo3MkpxUXhLck5QX3c4bFRjbE80eHJVZTNqQQ?oc=5"" target=""_blank"">The advanced silicon chips on which the future depends are all made in Taiwan – here’s why that matters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",The Guardian,https://news.google.com/rss/articles/CBMitgFBVV95cUxQeWNJQ0lXRzRURThQWjhtQlRFT2ZpVE9lcUoxMllMRHhEUHRMVS1xUjNXWVE1eUZhaVhBUWMySjRyZTVnbW9hZ1B2QXdhZ0U1TjJuNGg2SFRRT0RNSGUyMzd0M3IzT0I3MHhSX0Y0YndTZHR1d2dBcHE1R1RKNmRfRFZ4SF90VGQ0dlNZdG9LSGdSazdpNGIyWkVyRXo3MkpxUXhLck5QX3c4bFRjbE80eHJVZTNqQQ?oc=5
2023-10-21 07:00:00,TSMC Throws Shade At Intel's 18A Node As Being Inferior To Its 2nm Chip Tech - Hot Hardware,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTFA5VC1nYllhQWJVTDBKT3Z2aUlXU0g3VDhoVXQ3clZTRy1GeE12dDVwYTZRWV9FRTJUMS1kdDlwMlNtTG5ScUZqM28xRUVxc2RvdWN2R2FPTnk1ekl3OUZqQW83MkJzdw?oc=5"" target=""_blank"">TSMC Throws Shade At Intel's 18A Node As Being Inferior To Its 2nm Chip Tech</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hot Hardware</font>",Hot Hardware,https://news.google.com/rss/articles/CBMiZkFVX3lxTFA5VC1nYllhQWJVTDBKT3Z2aUlXU0g3VDhoVXQ3clZTRy1GeE12dDVwYTZRWV9FRTJUMS1kdDlwMlNtTG5ScUZqM28xRUVxc2RvdWN2R2FPTnk1ekl3OUZqQW83MkJzdw?oc=5
2023-10-21 07:00:00,Taiwan Names Tech Titan Special Envoy to SF APEC Summit - The San Francisco Standard,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE5Jel9yV1B1LXB3QUV4aktid0RXMnhEU0tkcDRpdkZzeUtXVUdNYWM4Z0lEc1c4bmF5QUZRMXgwbkRLQXRuSlhhaS03UDQ2Q094cHVWTEVSWE1EYzh5WlJZclNpdEZya3czWFo2Yi05ZUd2NDFfZFQ1alIwVXpiQQ?oc=5"" target=""_blank"">Taiwan Names Tech Titan Special Envoy to SF APEC Summit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The San Francisco Standard</font>",The San Francisco Standard,https://news.google.com/rss/articles/CBMifkFVX3lxTE5Jel9yV1B1LXB3QUV4aktid0RXMnhEU0tkcDRpdkZzeUtXVUdNYWM4Z0lEc1c4bmF5QUZRMXgwbkRLQXRuSlhhaS03UDQ2Q094cHVWTEVSWE1EYzh5WlJZclNpdEZya3czWFo2Yi05ZUd2NDFfZFQ1alIwVXpiQQ?oc=5
2023-10-21 07:00:00,The American semiconductor boom faces a massive obstacle: A lack of immigrants - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxORHplM19LWi15MHRZdk5MRWRsQnI2MHRPY0VRaUxFNFB6MUVHeGhsNnN3SVVkcm52ZUR4V1pxckFHTnRUY1NJV1ZuZlJSUUNKZldDa0JSTVp6THlwYnBxaUp0STZxMlpHVC1jMnZkSU85YjJkY0RPQ21HdFJMMndqX1l4a2FadUpmV1Y4c1hucTcyNjc3Njh2eWZkbmd4cXRTT08zcHU1b0szeTNFemNIRWxOalQyUjVqbmk2d3lPOXU?oc=5"" target=""_blank"">The American semiconductor boom faces a massive obstacle: A lack of immigrants</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://news.google.com/rss/articles/CBMiwAFBVV95cUxORHplM19LWi15MHRZdk5MRWRsQnI2MHRPY0VRaUxFNFB6MUVHeGhsNnN3SVVkcm52ZUR4V1pxckFHTnRUY1NJV1ZuZlJSUUNKZldDa0JSTVp6THlwYnBxaUp0STZxMlpHVC1jMnZkSU85YjJkY0RPQ21HdFJMMndqX1l4a2FadUpmV1Y4c1hucTcyNjc3Njh2eWZkbmd4cXRTT08zcHU1b0szeTNFemNIRWxOalQyUjVqbmk2d3lPOXU?oc=5
2023-10-22 07:00:00,There's no Huawei Chinese chipmakers can fill Nvidia's shoes... anytime soon - The Register,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTFBpNU9LazZpVVMwTzhLM3V1WXJGbC1fZnNuWFRHV2VheGdnYjJwbzEtalpVRUs2ektRdlg5cU5mZlRtQkt5ZjBrWTNfMUdTT0xGcnE3NVJiOXIzMk90ZWFUV2dqdC1GSWVZUzUtM0Q5dmRIeVHSAXhBVV95cUxPckowakdjeGNDNF9GYldTZ0VkeHdackgwTFhDRkw3eWtaMFhmemotRDNjOGZUdGxxTXUxOXJXaFhrMXlIc3FXTFY5aGhCSGZFVEI0UFZvY3JMNDdTUWVQd1Q1cktQOUNDR3EwbWJ4WFR4bWZuR1dCYVM?oc=5"" target=""_blank"">There's no Huawei Chinese chipmakers can fill Nvidia's shoes... anytime soon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Register</font>",The Register,https://news.google.com/rss/articles/CBMic0FVX3lxTFBpNU9LazZpVVMwTzhLM3V1WXJGbC1fZnNuWFRHV2VheGdnYjJwbzEtalpVRUs2ektRdlg5cU5mZlRtQkt5ZjBrWTNfMUdTT0xGcnE3NVJiOXIzMk90ZWFUV2dqdC1GSWVZUzUtM0Q5dmRIeVHSAXhBVV95cUxPckowakdjeGNDNF9GYldTZ0VkeHdackgwTFhDRkw3eWtaMFhmemotRDNjOGZUdGxxTXUxOXJXaFhrMXlIc3FXTFY5aGhCSGZFVEI0UFZvY3JMNDdTUWVQd1Q1cktQOUNDR3EwbWJ4WFR4bWZuR1dCYVM?oc=5
2023-10-21 07:00:00,iPhone 15 teardown reveals 10% costlier parts than 2022 flagship - Nikkei Asia,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPZlRkU0lwajFuT2FUY1k4XzlXVUhhODBHeF9Wb2x4NTBJX3dubVFQS2FnN2kzNndub0NCMXVJRTdmLVk3UXowNXJrdWpKZlZRa0VxTHBnME9CbjBGVElIeWdCdGZWdXVGeDI1MXctWVUyZDF3eTV0dnFyUkwyNTlySmJfUmgxQ0NmTWhsdThCX1ZPSGxja3JJZERsQmRUa0lYZ3hxWGo4cmRNemc?oc=5"" target=""_blank"">iPhone 15 teardown reveals 10% costlier parts than 2022 flagship</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nikkei Asia</font>",Nikkei Asia,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPZlRkU0lwajFuT2FUY1k4XzlXVUhhODBHeF9Wb2x4NTBJX3dubVFQS2FnN2kzNndub0NCMXVJRTdmLVk3UXowNXJrdWpKZlZRa0VxTHBnME9CbjBGVElIeWdCdGZWdXVGeDI1MXctWVUyZDF3eTV0dnFyUkwyNTlySmJfUmgxQ0NmTWhsdThCX1ZPSGxja3JJZERsQmRUa0lYZ3hxWGo4cmRNemc?oc=5
2023-10-22 07:00:00,Gaming rig with 8 GHz Core i9-14900KF overclocked CPU runs Counter Strike 2 at 900-1300 FPS - VideoCardz.com,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOb0lHRW82bkY0S0M2bm95T1Yyd21POVdXTHBrdTE5ZWFWeEdZUGo1em5WS19Ua1h2cnZ6TUYwMFl0WUZTcjltd3VnN0ROYU5RRzBrUUJNNlpkNjJjMGJzOS02WXRUbUs0Z1VFOUt3SlFvSXQ5WWRsSHBNVVJXTFdZWnFkdzBZakMzM3V0U1dMNU1QQlhneXBRdjVDc00zZWVBVFQ0T01CTzhoMlF2QWRmbnE0UmZtS2JlM3hn?oc=5"" target=""_blank"">Gaming rig with 8 GHz Core i9-14900KF overclocked CPU runs Counter Strike 2 at 900-1300 FPS</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VideoCardz.com</font>",VideoCardz.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOb0lHRW82bkY0S0M2bm95T1Yyd21POVdXTHBrdTE5ZWFWeEdZUGo1em5WS19Ua1h2cnZ6TUYwMFl0WUZTcjltd3VnN0ROYU5RRzBrUUJNNlpkNjJjMGJzOS02WXRUbUs0Z1VFOUt3SlFvSXQ5WWRsSHBNVVJXTFdZWnFkdzBZakMzM3V0U1dMNU1QQlhneXBRdjVDc00zZWVBVFQ0T01CTzhoMlF2QWRmbnE0UmZtS2JlM3hn?oc=5
2023-10-21 07:00:00,Taiwanese actress Lai Pei-hsia renounces U.S. citizenship - TVBS,"<a href=""https://news.google.com/rss/articles/CBMiUkFVX3lxTE9GY2xFLWNzREZhWExqb1I0c21DakNCMjBaY2hfRzVFT21DU1BZS2RrdndVODcxdG9yV05OU21WYTR4NDVLcEU5b1kyeFdTMGtxOWc?oc=5"" target=""_blank"">Taiwanese actress Lai Pei-hsia renounces U.S. citizenship</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TVBS</font>",TVBS,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9GY2xFLWNzREZhWExqb1I0c21DakNCMjBaY2hfRzVFT21DU1BZS2RrdndVODcxdG9yV05OU21WYTR4NDVLcEU5b1kyeFdTMGtxOWc?oc=5
